date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:42:42	8763/8763	---M-Z	200	added ('OK')	text/css	date:Sun,%2025%20Apr%202021%2018:08:34%20GMT	https://janezurevc.name/themes/custom/bootstrap_clean_blog/css/clean-blog.css?s16r9a	./janezurevc.name/themes/custom/bootstrap_clean_blog/css/clean-blog/index.css	(from https://janezurevc.name/)
16:42:43	521/521	---M-Z	200	added ('OK')	text/css	date:Sun,%2025%20Apr%202021%2018:08:34%20GMT	https://janezurevc.name/themes/custom/bootstrap_clean_blog/css/theme.css?s16r9a	./janezurevc.name/themes/custom/bootstrap_clean_blog/css/theme/index.css	(from https://janezurevc.name/)
16:42:57	3605/3605	---M-Z	200	added ('OK')	text/css	date:Sun,%2025%20Mar%202018%2012:46:35%20GMT	https://janezurevc.name/themes/custom/janezurevc_name/theme.css?s16r9a	./janezurevc.name/themes/custom/janezurevc_name/theme/index.css	(from https://janezurevc.name/)
16:42:59	13454/13454	---MCZ	200	added ('OK')	text/html	etag:%221699890178%22	https://janezurevc.name/about	./janezurevc.name/about/index.html	(from https://janezurevc.name/)
16:43:00	10517/10517	---MCZ	200	added ('OK')	text/html	etag:%221699890179%22	https://janezurevc.name/get-in-touch	./janezurevc.name/get-in-touch/index.html	(from https://janezurevc.name/)
16:43:01	287921/287921	---M--	200	added ('OK')	image/jpeg	date:Sun,%2025%20Mar%202018%2012:46:35%20GMT	https://janezurevc.name/themes/custom/janezurevc_name/images/default_bg.jpg	./janezurevc.name/themes/custom/janezurevc_name/images/default_bg/index.jpg	(from https://janezurevc.name/)
16:43:01	1304/1304	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2025%20Mar%202018%2012:46:35%20GMT	https://janezurevc.name/themes/custom/janezurevc_name/images/logo.svg	./janezurevc.name/themes/custom/janezurevc_name/images/logo/index.svg	(from https://janezurevc.name/)
16:43:03	23618/23618	---MCZ	200	added ('OK')	text/html	etag:%221699890182%22	https://janezurevc.name/real-time-auto-save-phoenix-liveview	./janezurevc.name/real-time-auto-save-phoenix-liveview/index.html	(from https://janezurevc.name/)
16:43:04	17191/17191	---MCZ	200	added ('OK')	text/html	etag:%221699890183%22	https://janezurevc.name/tags/elixir	./janezurevc.name/tags/elixir/index.html	(from https://janezurevc.name/)
16:43:05	17214/17214	---MCZ	200	added ('OK')	text/html	etag:%221699890184%22	https://janezurevc.name/tags/bitqa	./janezurevc.name/tags/bitqa/index.html	(from https://janezurevc.name/)
16:43:06	13340/13340	---MCZ	200	added ('OK')	text/html	etag:%221699890185%22	https://janezurevc.name/tags/phoenix	./janezurevc.name/tags/phoenix/index.html	(from https://janezurevc.name/)
16:43:07	13345/13345	---MCZ	200	added ('OK')	text/html	etag:%221699890186%22	https://janezurevc.name/tags/liveview	./janezurevc.name/tags/liveview/index.html	(from https://janezurevc.name/)
16:43:08	11693/11693	---MCZ	200	added ('OK')	text/html	etag:%221699890187%22	https://janezurevc.name/bitqa-hackathon-finals-presentation	./janezurevc.name/bitqa-hackathon-finals-presentation/index.html	(from https://janezurevc.name/)
16:43:09	14881/14881	---MCZ	200	added ('OK')	text/html	etag:%221699890188%22	https://janezurevc.name/tags/bsv	./janezurevc.name/tags/bsv/index.html	(from https://janezurevc.name/)
16:43:10	11596/11596	---MCZ	200	added ('OK')	text/html	etag:%221699890189%22	https://janezurevc.name/bitqa-interview	./janezurevc.name/bitqa-interview/index.html	(from https://janezurevc.name/)
